
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0268435456, Systemstep: 0, Dloga: 0
Begin Step 91, Time: 0.0749894, Redshift: 12.3352, Nf = 0268435456, Systemstep: 0.000671466, Dloga: 0.00899447

Begin Step 92, Time: 0.075667, Redshift: 12.2158, Nf = 0000000002, Systemstep: 0.000677533, Dloga: 0.00899447

Begin Step 93, Time: 0.0763506, Redshift: 12.0975, Nf = 0102024992, Systemstep: 0.000683654, Dloga: 0.00899447

Begin Step 94, Time: 0.0770404, Redshift: 11.9802, Nf = 0000000003, Systemstep: 0.000689831, Dloga: 0.00899447

Begin Step 95, Time: 0.0777365, Redshift: 11.864, Nf = 0262628378, Systemstep: 0.000696064, Dloga: 0.00899447

Begin Step 96, Time: 0.0784389, Redshift: 11.7488, Nf = 0000000005, Systemstep: 0.000702353, Dloga: 0.00899447

Begin Step 97, Time: 0.0791476, Redshift: 11.6346, Nf = 0102330300, Systemstep: 0.000708699, Dloga: 0.00899447

Begin Step 98, Time: 0.0798627, Redshift: 11.5215, Nf = 0000000009, Systemstep: 0.000715102, Dloga: 0.00899447

Begin Step 99, Time: 0.0805842, Redshift: 11.4094, Nf = 0268435456, Systemstep: 0.000721563, Dloga: 0.00899447

Begin Step 100, Time: 0.0809474, Redshift: 11.3537, Nf = 0000000001, Systemstep: 0.000363222, Dloga: 0.00449724

Begin Step 101, Time: 0.0813123, Redshift: 11.2983, Nf = 0000000016, Systemstep: 0.00036486, Dloga: 0.00449724

Begin Step 102, Time: 0.0816788, Redshift: 11.2431, Nf = 0000000002, Systemstep: 0.000366504, Dloga: 0.00449724

Begin Step 103, Time: 0.082047, Redshift: 11.1881, Nf = 0119419504, Systemstep: 0.000368156, Dloga: 0.00449724

Begin Step 104, Time: 0.0824168, Redshift: 11.1335, Nf = 0000000002, Systemstep: 0.000369816, Dloga: 0.00449724

Begin Step 105, Time: 0.0827883, Redshift: 11.079, Nf = 0000000028, Systemstep: 0.000371482, Dloga: 0.00449724

Begin Step 106, Time: 0.0835363, Redshift: 10.9709, Nf = 0263690929, Systemstep: 0.000747996, Dloga: 0.00899447

Begin Step 107, Time: 0.0839128, Redshift: 10.9171, Nf = 0000000003, Systemstep: 0.000376528, Dloga: 0.00449724

Begin Step 108, Time: 0.084291, Redshift: 10.8637, Nf = 0000000035, Systemstep: 0.000378225, Dloga: 0.00449724

Begin Step 109, Time: 0.0846709, Redshift: 10.8104, Nf = 0000000004, Systemstep: 0.00037993, Dloga: 0.00449724

Begin Step 110, Time: 0.0850526, Redshift: 10.7574, Nf = 0119718817, Systemstep: 0.000381643, Dloga: 0.00449724

Begin Step 111, Time: 0.0854359, Redshift: 10.7047, Nf = 0000000003, Systemstep: 0.000383363, Dloga: 0.00449724

Begin Step 112, Time: 0.085821, Redshift: 10.6522, Nf = 0000000051, Systemstep: 0.000385091, Dloga: 0.00449724

Begin Step 113, Time: 0.0862079, Redshift: 10.5999, Nf = 0000000008, Systemstep: 0.000386827, Dloga: 0.00449724

Begin Step 114, Time: 0.0865964, Redshift: 10.5478, Nf = 0268435456, Systemstep: 0.00038857, Dloga: 0.00449724

Begin Step 115, Time: 0.0869868, Redshift: 10.496, Nf = 0000000008, Systemstep: 0.000390322, Dloga: 0.00449724

Begin Step 116, Time: 0.0873788, Redshift: 10.4444, Nf = 0000000144, Systemstep: 0.000392081, Dloga: 0.00449724

Begin Step 117, Time: 0.0877727, Redshift: 10.3931, Nf = 0000000007, Systemstep: 0.000393848, Dloga: 0.00449724

Begin Step 118, Time: 0.0881683, Redshift: 10.3419, Nf = 0136439652, Systemstep: 0.000395623, Dloga: 0.00449724

Begin Step 119, Time: 0.0885657, Redshift: 10.2911, Nf = 0000000015, Systemstep: 0.000397407, Dloga: 0.00449724

Begin Step 120, Time: 0.0889649, Redshift: 10.2404, Nf = 0000000187, Systemstep: 0.000399198, Dloga: 0.00449724

Begin Step 121, Time: 0.0893659, Redshift: 10.1899, Nf = 0000000020, Systemstep: 0.000400997, Dloga: 0.00449724

Begin Step 122, Time: 0.0897687, Redshift: 10.1397, Nf = 0264562768, Systemstep: 0.000402805, Dloga: 0.00449724

Begin Step 123, Time: 0.0901733, Redshift: 10.0898, Nf = 0000000022, Systemstep: 0.00040462, Dloga: 0.00449724

