
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0134217728, Systemstep: 0, Dloga: 0
Begin Step 42, Time: 0.0327812, Redshift: 29.5053, Nf = 0105801099, Systemstep: 0.000584427, Dloga: 0.0179889

Begin Step 43, Time: 0.0333762, Redshift: 28.9614, Nf = 0000152308, Systemstep: 0.000595035, Dloga: 0.0179889

Begin Step 44, Time: 0.0339821, Redshift: 28.4273, Nf = 0134217728, Systemstep: 0.000605836, Dloga: 0.0179889

Begin Step 45, Time: 0.0345989, Redshift: 27.9026, Nf = 0000324638, Systemstep: 0.000616833, Dloga: 0.0179889

Begin Step 46, Time: 0.0352269, Redshift: 27.3874, Nf = 0109697119, Systemstep: 0.00062803, Dloga: 0.0179889

Begin Step 47, Time: 0.0358664, Redshift: 26.8813, Nf = 0000333295, Systemstep: 0.00063943, Dloga: 0.0179889

Begin Step 48, Time: 0.0365174, Redshift: 26.3842, Nf = 0134217728, Systemstep: 0.000651036, Dloga: 0.0179889

Begin Step 49, Time: 0.0371803, Redshift: 25.896, Nf = 0000856884, Systemstep: 0.000662854, Dloga: 0.0179889

Begin Step 50, Time: 0.0378552, Redshift: 25.4165, Nf = 0114240322, Systemstep: 0.000674886, Dloga: 0.0179889

Begin Step 51, Time: 0.0385423, Redshift: 24.9455, Nf = 0000876930, Systemstep: 0.000687136, Dloga: 0.0179889

Begin Step 52, Time: 0.0392419, Redshift: 24.483, Nf = 0134217728, Systemstep: 0.000699609, Dloga: 0.0179889

Begin Step 53, Time: 0.0399542, Redshift: 24.0287, Nf = 0001750925, Systemstep: 0.000712308, Dloga: 0.0179889

Begin Step 54, Time: 0.0406794, Redshift: 23.5824, Nf = 0117518916, Systemstep: 0.000725238, Dloga: 0.0179889

Begin Step 55, Time: 0.0414178, Redshift: 23.1442, Nf = 0001787639, Systemstep: 0.000738402, Dloga: 0.0179889

Begin Step 56, Time: 0.0421697, Redshift: 22.7137, Nf = 0134217728, Systemstep: 0.000751805, Dloga: 0.0179889

Begin Step 57, Time: 0.0429351, Redshift: 22.291, Nf = 0004201962, Systemstep: 0.000765452, Dloga: 0.0179889

Begin Step 58, Time: 0.0437144, Redshift: 21.8757, Nf = 0121346967, Systemstep: 0.000779346, Dloga: 0.0179889

Begin Step 59, Time: 0.0445079, Redshift: 21.4679, Nf = 0004269936, Systemstep: 0.000793492, Dloga: 0.0179889

Begin Step 60, Time: 0.0453158, Redshift: 21.0673, Nf = 0134217728, Systemstep: 0.000807896, Dloga: 0.0179889

Begin Step 61, Time: 0.0461384, Redshift: 20.6739, Nf = 0005601203, Systemstep: 0.00082256, Dloga: 0.0179889

Begin Step 62, Time: 0.0469759, Redshift: 20.2875, Nf = 0122637507, Systemstep: 0.000837491, Dloga: 0.0179889

Begin Step 63, Time: 0.0478286, Redshift: 19.908, Nf = 0005692810, Systemstep: 0.000852693, Dloga: 0.0179889

Begin Step 64, Time: 0.0486968, Redshift: 19.5353, Nf = 0134217728, Systemstep: 0.000868171, Dloga: 0.0179889

Begin Step 65, Time: 0.0495807, Redshift: 19.1691, Nf = 0010979717, Systemstep: 0.00088393, Dloga: 0.0179889

Begin Step 66, Time: 0.0504807, Redshift: 18.8096, Nf = 0125432538, Systemstep: 0.000899975, Dloga: 0.0179889

Begin Step 67, Time: 0.051397, Redshift: 18.4564, Nf = 0011113318, Systemstep: 0.000916311, Dloga: 0.0179889

Begin Step 68, Time: 0.0523299, Redshift: 18.1095, Nf = 0134217728, Systemstep: 0.000932943, Dloga: 0.0179889

Begin Step 69, Time: 0.0532798, Redshift: 17.7688, Nf = 0015691722, Systemstep: 0.000949878, Dloga: 0.0179889

Begin Step 70, Time: 0.0542469, Redshift: 17.4342, Nf = 0126889223, Systemstep: 0.00096712, Dloga: 0.0179889

Begin Step 71, Time: 0.0552316, Redshift: 17.1056, Nf = 0015864011, Systemstep: 0.000984675, Dloga: 0.0179889

Begin Step 72, Time: 0.0562341, Redshift: 16.7828, Nf = 0134217728, Systemstep: 0.00100255, Dloga: 0.0179889

Begin Step 73, Time: 0.0572549, Redshift: 16.4658, Nf = 0018989515, Systemstep: 0.00102075, Dloga: 0.0179889

Begin Step 74, Time: 0.0582942, Redshift: 16.1544, Nf = 0127660576, Systemstep: 0.00103927, Dloga: 0.0179889

Begin Step 75, Time: 0.0593523, Redshift: 15.8485, Nf = 0019196742, Systemstep: 0.00105814, Dloga: 0.0179889

Begin Step 76, Time: 0.0604296, Redshift: 15.5482, Nf = 0134217728, Systemstep: 0.00107735, Dloga: 0.0179889

Begin Step 77, Time: 0.0615265, Redshift: 15.2531, Nf = 0025410179, Systemstep: 0.0010969, Dloga: 0.0179889

Begin Step 78, Time: 0.0626434, Redshift: 14.9634, Nf = 0128786673, Systemstep: 0.00111681, Dloga: 0.0179889

Begin Step 79, Time: 0.0637804, Redshift: 14.6788, Nf = 0025654057, Systemstep: 0.00113708, Dloga: 0.0179889

Begin Step 80, Time: 0.0649382, Redshift: 14.3993, Nf = 0134217728, Systemstep: 0.00115772, Dloga: 0.0179889

Begin Step 81, Time: 0.0661169, Redshift: 14.1247, Nf = 0033696029, Systemstep: 0.00117874, Dloga: 0.0179889

Begin Step 82, Time: 0.067317, Redshift: 13.8551, Nf = 0129838015, Systemstep: 0.00120014, Dloga: 0.0179889

Begin Step 83, Time: 0.068539, Redshift: 13.5902, Nf = 0033968535, Systemstep: 0.00122192, Dloga: 0.0179889

Begin Step 84, Time: 0.0697831, Redshift: 13.3301, Nf = 0134217728, Systemstep: 0.0012441, Dloga: 0.0179889

Begin Step 85, Time: 0.0710497, Redshift: 13.0746, Nf = 0050174936, Systemstep: 0.00126668, Dloga: 0.0179889

Begin Step 86, Time: 0.0723394, Redshift: 12.8237, Nf = 0131247076, Systemstep: 0.00128968, Dloga: 0.0179889

Begin Step 87, Time: 0.0736525, Redshift: 12.5773, Nf = 0050436441, Systemstep: 0.00131308, Dloga: 0.0179889

Begin Step 88, Time: 0.0749894, Redshift: 12.3352, Nf = 0134217728, Systemstep: 0.00133692, Dloga: 0.0179889

Begin Step 89, Time: 0.075667, Redshift: 12.2158, Nf = 0000000001, Systemstep: 0.000677533, Dloga: 0.00899447

Begin Step 90, Time: 0.0763506, Redshift: 12.0975, Nf = 0051938155, Systemstep: 0.000683654, Dloga: 0.00899447

Begin Step 91, Time: 0.0770404, Redshift: 11.9802, Nf = 0000000002, Systemstep: 0.000689831, Dloga: 0.00899447

